PaisDestino,Anio,ValorMilesFOBDol,ValorMilesPesos,VolumenToneladas
Estados Unidos,2017,1210398.6400000008,3571003149.070003,323823.81000000035
Estados Unidos,2016,1092818.6199999996,3333148199.009997,310901.5100000001
Estados Unidos,2015,1151949.1800000002,3168272472.2099996,301876.46000000025
Estados Unidos,2018,912258.5699999989,2655861169.4100037,269273.69999999995
Estados Unidos,2014,1109365.0900000015,2230233015.2399964,265568.42000000045
Estados Unidos,2013,937305.7899999992,1754162759.0100017,246440.1000000002
Estados Unidos,2007,648530.4500000001,1347017407.9299996,229983.98999999987
Estados Unidos,2006,568911.6000000002,1336332118.5400012,218695.90000000002
Estados Unidos,2008,681485.08,1327572214.0700011,204657.16000000018
Estados Unidos,2011,1236393.25,2298441779.3999977,197782.8900000002
Estados Unidos,2009,750059.3099999998,1619334361.15,196106.12999999995
Estados Unidos,2010,858784.2400000005,1631581050.32,172794.5800000001
Estados Unidos,2012,909923.3800000006,1636872647.0899997,172459.15000000017
Alemania,2007,252658.38999999975,523211157.6399999,90049.57
Japón,2006,225934.8600000001,532879801.48000014,86716.49
Alemania,2006,211174.59000000003,497918516.87,83815.19999999994
Japón,2010,387520.8299999999,736767196.0200006,81731.07999999999
Japón,2007,228345.10999999987,472163898.72,79416.14000000004
Japón,2015,289667.8799999999,782167536.8199999,79048.64000000001
Japón,2009,266849.9399999999,582792064.1199994,75613.92000000001
Japón,2016,258028.67999999993,776827187.889999,74494.22000000002
Japón,2017,269399.11999999994,793212519.4800001,72959.05999999998
Alemania,2016,243312.10000000012,740505450.2100003,72192.56
Japón,2008,238912.31000000023,463135697.65000015,71227.85999999999
Japón,2013,243306.35999999996,454057516.93,66140.83999999998
Alemania,2015,227320.10999999996,622267364.6999997,61275.56
Japón,2014,254564.06999999983,508871940.86999965,59501.719999999994
Japón,2011,366178.98000000004,675440438.1399999,57893.219999999965
Canadá,2016,183429.2200000001,556704579.6199995,55978.959999999955
Bélgica,2015,214848.13000000006,580554734.5399998,55644.22999999998
Alemania,2017,208055.7199999998,613258001.5400002,55059.34999999997
Alemania,2008,187635.16999999995,363435380.45999986,54550.76000000001
Japón,2018,177665.5499999999,514723381.0200001,54343.659999999996
Canadá,2017,190682.23000000004,562106734.4000005,53846.520000000004
Alemania,2014,223219.22000000003,450309854.81,53551.8
Alemania,2018,173510.58000000002,504049705.4000001,50881.84999999995
Bélgica,2014,211492.61000000004,426370003.62999994,48436.569999999985
Canadá,2018,151122.96000000005,438984032.66,48183.619999999995
Canadá,2015,166787.06999999995,454978488.33,47032.64999999997
Bélgica,2007,128306.78,269297598.40000015,46531.270000000026
Canadá,2014,181910.24999999994,362154586.1799997,44988.349999999984
Japón,2012,228722.79000000007,411255664.6999999,44126.27999999997
Bélgica,2016,158528.08999999994,483740891.0799999,43763.88000000004
Bélgica,2013,166851.78,310513441.97999996,41262.66999999997
Alemania,2013,153046.14,285991109.68000007,40450.22000000001
Canadá,2013,122991.13000000006,229719799.02000004,36086.93000000001
Bélgica,2017,135229.28999999998,398015733.49999976,35030.62000000002
Bélgica,2008,116623.04000000001,226442789.49000004,34930.710000000014
Bélgica,2011,228526.72999999995,425629893.8400002,34563.82000000001
Canadá,2006,85261.36999999995,201236499.75999996,34499.42999999999
Canadá,2010,150670.00999999992,285996831.33000004,32727.549999999977
Bélgica,2006,84088.85000000002,198665812.04,32605.01
Canadá,2007,88823.83999999997,183220202.00000003,32508.43999999997
Bélgica,2010,155165.5900000001,295192962.77999985,31367.36000000002
Bélgica,2012,164915.47999999998,296061722.25999993,31365.489999999987
Canadá,2012,146761.33000000002,263685546.11999997,31309.950000000008
Canadá,2011,184974.99999999994,341933687.19000036,30955.680000000004
Bélgica,2009,108542.81999999999,235355124.6099999,30590.83999999999
Canadá,2009,103223.35999999997,222233153.19999996,30212.09999999999
Canadá,2008,96247.61000000002,185416022.3899999,29882.73000000001
Bélgica,2018,104408.84,302744200.02000016,29131.21000000001
Alemania,2009,104661.95000000006,228141961.6400001,28412.66999999998
Corea,2016,94982.43000000001,287634087.4700001,28381.159999999993
Corea,2017,96148.64000000006,283897881.2,26595.009999999987
Reino Unido,2007,75478.56999999999,155725633.94000018,25473.160000000003
Reino Unido,2011,166919.06999999995,308676816.73999983,24653.17999999999
Alemania,2011,162384.95,300954542.8400001,24471.849999999995
Italia,2007,65173.82000000001,135032369.64,24244.060000000012
Reino Unido,2008,82227.73000000001,158743513.09999993,24157.41
Alemania,2012,128374.56999999999,230664102.99999994,23935.549999999996
Corea,2018,76804.92,222357068.99,23366.990000000013
Reino Unido,2014,102578.76999999999,205841124.28000024,23327.289999999986
Italia,2006,56209.28,131663535.48000005,23204.08
Italia,2016,73201.94,223147122.18999985,22858.940000000002
Reino Unido,2017,83786.76999999999,246961220.48000002,22460.679999999997
Reino Unido,2006,59008.22000000003,139573907.50000006,21349.559999999998
Italia,2015,77379.18000000001,204554615.9400001,21127.180000000008
Corea,2014,82231.40999999999,165355683.65000004,20624.91999999999
Reino Unido,2016,77738.01000000005,236942258.54999992,20615.789999999997
Corea,2015,73614.71,199392918.11000007,20474.24
Italia,2017,71645.81000000003,211193584.03999993,20445.990000000005
Reino Unido,2012,110765.98999999996,198581956.6,20093.489999999994
España,2007,55722.68999999997,115066673.45000005,19884.85000000001
Italia,2008,62475.750000000015,120490250.37000008,19430.670000000002
Reino Unido,2009,68821.92999999996,150709791.96999997,19351.07999999999
Reino Unido,2015,72180.00999999994,201539678.4500002,18833.729999999996
Reino Unido,2013,72561.08000000006,135182082.71000004,18813.03000000001
España,2016,64999.739999999976,198118357.08000007,18709.659999999996
Finlandia,2016,61577.68000000004,187071809.3499999,18291.699999999997
Alemania,2010,94239.17,178971490.2200002,18285.729999999992
España,2015,68552.40999999999,190586757.11000007,18174.380000000005
Suecia,2006,44411.68,104394687.24000002,18087.010000000006
España,2017,63831.50000000003,188336075.26999998,17613.38000000001
España,2014,77748.14999999997,157809968.07000002,17540.399999999998
Corea,2011,102300.11000000002,190240608.88000008,16787.89
Finlandia,2015,57535.800000000054,157589766.43,16706.849999999995
Suecia,2007,44442.43000000001,92248732.53000003,16647.88
Italia,2014,63540.93999999999,126701071.20999996,16198.999999999996
Finlandia,2017,57492.54,169508924.04999995,15865.130000000001
España,2006,39780.400000000016,93861708.31,15831.63
Italia,2018,49847.700000000004,144143004.89999992,15632.609999999997
Reino Unido,2010,74585.65,142360751.12999997,14881.020000000004
España,2013,57726.970000000016,107322855.00999999,14687.049999999997
Corea,2013,53132.43000000002,98978376.12000002,14645.520000000002
Corea,2010,69277.46000000002,131776409.93000004,14548.290000000003
Finlandia,2007,38182.579999999994,79959987.48,14162.460000000003
España,2011,92282.34999999998,170545759.12999988,13967.179999999998
Suecia,2008,43321.13999999999,84233774.97,13936.000000000005
España,2012,74704.50000000001,134318797.52,13932.52
Corea,2009,50596.810000000005,107152912.59999998,13824.37
España,2008,46676.909999999974,90208255.36999997,13748.150000000001
Reino Unido,2018,50311.189999999966,146018969.53999993,13618.490000000003
España,2018,44477.16999999998,129289071.31,13450.679999999991
Finlandia,2014,52223.170000000035,105306492.44,13030.240000000002
Finlandia,2006,31357.32,74014709.83000001,12934.849999999995
Finlandia,2018,42649.72999999998,123984527.32000002,12804.049999999992
España,2009,44434.990000000005,96027892.78000002,12700.479999999998
Finlandia,2013,43381.74,81440607.86999999,12350.329999999994
Corea,2012,61877.05,111359732.33999997,12335.63
Francia,2017,43338.439999999995,128111238.71999995,12323.72000000001
Países Bajos,2006,30436.11999999999,71571146.41,12130.320000000003
Corea,2007,32251.929999999982,66713437.57,11899.370000000004
Suecia,2009,40204.30000000002,86570960.05000001,11867.909999999998
Países Bajos,2007,32424.069999999996,67305671.73,11687.279999999993
Corea,2008,37406.24,73369819.19999997,11628.62
Finlandia,2008,37322.99,73099596.14,11609.500000000002
Francia,2009,39402.40999999998,85230364.05,11430.74
España,2010,53865.539999999964,102213665.40000004,11357.380000000012
Finlandia,2012,51061.60000000003,91573526.22999997,10995.279999999999
Noruega,2017,36809.58000000001,108526333.52999999,10583.170000000002
Suecia,2016,33906.6,103153668.64,10493.829999999998
Noruega,2015,35729.99,98393638.17000005,10388.370000000003
Australia,2017,40245.01000000002,118887895.99000008,10241.1
Corea,2006,24537.700000000008,58003724.290000014,10051.54
Suecia,2014,40972.28999999999,82126110.02000003,10030.870000000003
Italia,2009,32404.379999999997,73464133.28999999,10020.580000000002
Francia,2014,40987.03000000001,82297782.22000001,10014.3
Suecia,2015,34413.39,94271343.20000002,9863.009999999997
Noruega,2016,32024.000000000007,97195493.0,9860.48
Noruega,2007,26517.250000000007,55058345.85000001,9754.850000000002
Francia,2016,31780.96999999999,95809449.30000001,9703.159999999994
Italia,2013,32893.9,61240115.89000001,9522.67
Francia,2013,33731.240000000005,63027384.16,9431.039999999997
Francia,2007,27078.070000000018,55924206.38999999,9197.980000000001
Australia,2018,32474.980000000003,94471016.29000005,8924.110000000002
Malasia,2015,33811.18,93543625.02,8564.07
Noruega,2014,34880.51999999999,69855069.61999999,8474.289999999999
Australia,2016,32405.729999999996,98714899.28999998,8457.749999999998
Suecia,2017,28848.98,85029790.51,8252.179999999998
Noruega,2013,26610.649999999994,50005666.190000005,7862.219999999999
Francia,2010,37080.98999999999,70564512.99999999,7754.739999999997
Finlandia,2011,50840.62999999999,93956207.80999997,7743.200000000001
Suecia,2013,25739.560000000005,48027754.08000003,7718.05
Países Bajos,2016,27370.059999999987,83932623.69000003,7654.539999999997
Francia,2008,26661.679999999982,50744308.01,7498.669999999998
Australia,2015,30755.840000000007,84768858.51999995,7478.629999999998
Italia,2011,44872.31,82265437.12,7367.769999999999
Noruega,2018,23263.940000000006,67691185.27000003,7356.829999999999
Noruega,2006,18818.309999999998,44655811.01000001,7334.550000000001
Suecia,2012,33910.349999999984,60939835.29,7221.449999999998
Países Bajos,2015,27376.880000000012,75845055.37,7134.860000000001
Suecia,2010,32582.04,61914917.40999999,7129.469999999998
Suecia,2011,42709.95999999999,78860726.63000001,7067.119999999998
Francia,2012,36088.25,64997959.659999974,7050.559999999995
Noruega,2010,32163.76999999999,61432010.719999984,6916.179999999999
Finlandia,2010,32172.019999999997,60817139.79000002,6853.559999999999
Francia,2011,43358.18000000001,80599107.93,6722.319999999998
Israel,2017,23586.969999999983,69597564.17,6706.959999999995
Francia,2018,22444.930000000004,65391218.140000015,6661.049999999998
Francia,2015,25532.010000000002,69169499.13000003,6660.709999999998
Italia,2012,31659.21999999999,56905215.75999999,6476.95
Francia,2006,19081.35,45200706.21000001,6443.390000000001
Países Bajos,2017,24676.759999999987,72647352.18,6329.729999999998
Noruega,2008,19549.920000000002,38050254.919999994,6141.059999999999
Países Bajos,2008,20189.460000000006,38859390.96999999,5866.74
Italia,2010,28312.00999999999,53943126.69,5857.44
México,2015,40720.98000000001,109056120.09,5857.269999999999
Países Bajos,2014,27863.220000000012,56600349.29000001,5792.900000000003
Noruega,2009,18885.099999999995,41066608.650000006,5717.67
Finlandia,2009,18824.770000000004,40039936.16000001,5628.689999999997
Países Bajos,2018,20873.129999999994,61138430.08,5627.83
Australia,2014,26643.019999999986,53468256.00999997,5606.2699999999995
Israel,2018,17936.370000000006,51890827.66,5550.690000000001
Noruega,2012,27080.789999999997,48632733.10999999,5530.669999999997
Australia,2013,22153.86000000002,41431778.739999995,5504.149999999997
Rusia- Federación de,2015,23772.480000000003,64604077.42,5418.650000000002
Malasia,2018,18503.990000000005,53425568.309999995,5353.13
México,2016,30027.060000000005,91130510.2500001,5126.089999999998
Noruega,2011,30648.96,57439160.779999994,5112.029999999999
Rusia- Federación de,2017,23699.189999999995,70024083.27999997,4861.620000000001
Israel,2015,16164.239999999998,44965098.870000005,4781.77
Malasia,2016,17971.699999999997,54508767.36999999,4738.39
Israel,2013,15582.29,29333557.930000003,4702.539999999997
Malasia,2017,18257.29,54121435.93000001,4638.67
Israel,2007,12507.560000000003,25584532.990000002,4565.6500000000015
Rusia- Federación de,2016,20191.950000000008,61250835.129999995,4553.280000000001
Israel,2016,14917.230000000001,45597362.71999998,4534.029999999998
Rusia- Federación de,2014,23953.489999999998,47859355.77,4481.280000000001
China,2018,16821.27,48472356.33999999,4368.68
Suecia,2018,13939.759999999997,40368409.059999995,4312.71
Israel,2014,15018.499999999998,30049123.539999995,4147.999999999999
Dinamarca,2006,11104.459999999997,26232134.619999994,4048.3499999999995
Rusia- Federación de,2018,17693.16,51608829.93,3995.9
Israel,2006,9866.879999999994,23245574.979999993,3893.04
México,2014,26246.46,53016032.21000003,3840.9999999999995
Israel,2008,12635.129999999997,24233848.169999998,3767.0699999999993
Malasia,2014,17133.21,34462895.51999998,3654.21
Rusia- Federación de,2013,21650.809999999998,40636676.34,3651.2400000000007
Australia,2012,20150.049999999992,36245025.15,3622.740000000001
México,2017,29255.979999999996,86428106.04,3562.349999999999
República Dominicana,2015,10299.44,31502130.260000005,3509.72
Australia,2011,22201.250000000004,41369668.79000001,3388.3899999999985
Rusia- Federación de,2012,32733.580000000005,58659826.25999999,3363.8
Países Bajos,2013,12956.640000000003,24295351.98,3327.7700000000004
Dinamarca,2007,10393.570000000002,21459189.389999997,3263.750000000001
Taiwán- Provincia de China,2017,12299.429999999995,36219194.61,3132.63
Taiwán- Provincia de China,2018,11097.989999999998,32055703.02,3122.9100000000003
Rusia- Federación de,2008,21301.400000000005,42543742.800000004,3059.8699999999994
Israel,2012,14363.58,25861609.99,3022.9399999999996
Australia,2010,15962.930000000004,30261191.009999987,3017.2600000000007
Australia,2007,9116.81,18886993.780000005,3006.68
México,2018,28546.630000000012,83092211.86999997,2975.7799999999997
Polonia,2007,14084.690000000006,29191288.4,2959.18
Polonia,2006,11984.170000000004,28275661.68,2924.0800000000004
Australia,2006,7691.030000000002,18062594.669999998,2762.4700000000016
Rusia- Federación de,2011,29150.440000000002,53867053.02999999,2706.4500000000007
Taiwán- Provincia de China,2016,9871.47,29787208.939999998,2669.899999999999
Países Bajos,2009,9634.910000000002,21337675.900000002,2641.340000000001
China,2017,12006.779999999997,35449458.52999999,2589.28
Australia,2008,9560.53,18539427.56,2585.6000000000004
Australia,2009,10234.510000000004,22095551.300000004,2528.2700000000004
Dinamarca,2008,9910.090000000002,19387350.849999998,2523.46
Rusia- Federación de,2009,23629.72,50199286.00999999,2520.3999999999996
Rusia- Federación de,2007,16260.819999999996,33579454.78,2393.34
China,2015,9320.12,25821333.809999984,2352.379999999999
Taiwán- Provincia de China,2015,9109.969999999998,24082861.11,2319.5100000000007
Rusia- Federación de,2010,23335.96,44346731.669999994,2246.7
Dinamarca,2016,7764.63,23608426.279999994,2246.37
Portugal,2008,6849.96,12994623.29,2175.3199999999997
Dinamarca,2014,9597.429999999997,19423459.39,2152.8499999999995
Dinamarca,2015,9029.1,24785947.980000004,2108.1200000000003
República Dominicana,2016,5619.14,17208216.439999998,2027.0600000000002
Países Bajos,2012,9376.720000000001,16879459.490000002,1867.67
Jordania,2015,6108.699999999998,17101101.9,1813.0300000000007
Israel,2011,10848.339999999997,20132012.87000001,1790.3100000000002
Rumania,2016,5970.009999999999,18196442.52,1784.4900000000002
México,2013,17766.059999999994,33235240.009999998,1778.8600000000004
China,2016,7605.84,23026094.099999998,1766.1399999999999
Nueva Zelandia,2018,6069.789999999999,17742669.849999994,1738.81
Nueva Zelandia,2017,6916.41,20406760.650000006,1704.3899999999999
Nueva Zelandia,2016,6593.97,20105549.86,1701.6700000000003
México,2007,10008.460000000008,20647929.15,1699.1099999999997
China,2014,6781.600000000001,13458814.91,1683.9099999999999
Rumania,2018,5199.89,15163396.979999999,1682.7000000000003
Austria,2006,4001.82,9353810.399999999,1678.42
Dinamarca,2017,6550.549999999998,19278004.07,1654.91
Portugal,2007,4520.5599999999995,9392303.3,1645.7800000000002
México,2006,10246.640000000003,24112776.229999997,1643.7799999999997
Israel,2010,7457.360000000001,14319937.66,1609.24
Dinamarca,2013,7392.990000000001,13843195.220000003,1590.8600000000006
Rumania,2015,5491.639999999999,15011435.969999999,1582.0600000000002
Portugal,2017,5293.700000000001,15559675.039999997,1579.4899999999998
México,2012,18325.57999999999,33052864.53999999,1560.1400000000003
Ecuador,2007,15084.33999999999,31064373.060000002,1537.8300000000002
México,2009,13544.46,29037327.479999993,1525.6100000000004
Países Bajos,2010,7516.380000000001,14373797.179999998,1520.9500000000005
Polonia,2008,7177.670000000001,14373685.149999999,1516.0800000000004
Grecia,2016,5165.499999999999,15622174.82,1511.4600000000007
Rumania,2017,5046.85,14895872.650000002,1455.05
Sudáfrica,2008,4489.720000000001,8661841.540000001,1441.97
México,2008,11036.640000000005,22437780.96,1441.72
Israel,2009,4919.250000000001,10888499.629999999,1438.71
Venezuela,2006,8634.460000000003,20184339.56,1437.8099999999997
Jordania,2017,4892.59,14485351.12,1398.81
Ecuador,2006,12275.880000000003,28924793.100000005,1395.7900000000002
Ecuador,2008,15242.159999999996,29778375.11,1393.6499999999999
Dinamarca,2012,7614.969999999999,13660316.149999999,1393.16
Taiwán- Provincia de China,2014,6734.300000000001,13314331.51,1383.3499999999997
Rumania,2014,5856.09,11706194.93,1374.98
Nueva Zelandia,2015,5518.239999999998,15141748.579999998,1354.09
Chile,2018,14382.040000000003,41864082.28000001,1328.0700000000002
Estonia,2007,7425.330000000001,15258093.52,1315.2200000000005
Dinamarca,2018,4791.420000000001,13897319.129999999,1310.87
Taiwán- Provincia de China,2013,5631.06,10486598.25,1310.12
Dinamarca,2009,5688.360000000001,12374895.95,1309.9600000000003
Chile,2016,12284.729999999996,37099401.790000014,1306.5500000000002
Grecia,2018,4214.65,12253572.089999998,1291.3100000000004
Nueva Zelandia,2009,4708.629999999999,10229650.530000001,1257.6100000000006
Polonia,2018,8720.070000000002,25249124.84,1254.6000000000004
Portugal,2006,2936.9700000000007,6985703.770000001,1251.3800000000006
Siria- República Árabe,2006,3145.74,7339019.790000001,1248.6
México,2011,17394.37,32236081.73,1239.0700000000004
Rumania,2013,4038.359999999999,7591227.129999999,1234.6599999999999
Perú,2016,9969.880000000003,30134149.75,1229.7700000000004
China,2013,5114.599999999999,9574395.890000002,1202.5900000000004
Ecuador,2009,15648.659999999994,32779234.880000006,1190.6299999999999
Perú,2017,12119.029999999999,35802406.6,1186.0899999999995
Argentina,2017,4073.52,12008587.920000002,1185.25
Chile,2017,13608.879999999996,40192517.660000004,1180.3299999999997
Malasia,2013,6226.69,11580625.579999998,1170.5800000000004
Rusia- Federación de,2006,9375.03,22266211.290000003,1167.94
México,2010,12597.4,23793709.199999996,1161.7600000000002
República Checa,2007,3015.0700000000006,6112026.53,1154.9
Eslovenia,2016,3652.7799999999993,10944345.579999998,1139.2200000000003
Polonia,2016,7595.530000000002,23110794.83,1136.92
Rumania,2006,2760.1999999999994,6496635.260000001,1135.16
Ecuador,2010,13569.579999999996,25777718.559999995,1132.7800000000002
Dinamarca,2011,9725.210000000001,17855651.43,1129.4800000000002
Nueva Zelandia,2014,5327.139999999999,10814636.170000002,1122.84
Rumania,2007,2965.3899999999994,6162718.169999999,1117.82
Grecia,2017,3908.320000000001,11562248.919999998,1114.5300000000002
Ecuador,2015,17103.880000000005,46884146.720000006,1111.1699999999998
Perú,2013,8349.86,15684014.8,1102.9899999999996
Nueva Zelandia,2013,4442.109999999999,8246435.860000001,1095.3600000000001
Polonia,2017,7393.440000000001,21837366.139999997,1089.6300000000003
Eslovenia,2014,4467.2300000000005,8900228.26,1086.72
Estonia,2008,7714.220000000001,15267446.85,1079.41
Países Bajos,2011,7132.02,13133656.549999999,1063.4
Suiza,2006,3846.4700000000003,9159339.74,1052.28
Jordania,2018,3323.0700000000006,9716245.32,1031.99
Ecuador,2017,14599.28,43263522.71000001,1031.2300000000002
Ecuador,2018,16079.47,46987636.59000002,1030.2799999999997
Perú,2015,7472.36,20759873.16,1017.0500000000001
Siria- República Árabe,2008,3689.990000000001,7509835.5,1016.4899999999999
Perú,2012,9531.65,17149661.200000007,1016.2899999999998
Nueva Zelandia,2012,5622.739999999999,10099602.51,1012.2900000000002
Perú,2014,14893.02,28729631.240000006,1011.3499999999997
Grecia,2015,3631.4099999999994,9956264.970000003,1005.4199999999998
Nueva Zelandia,2007,2721.4799999999996,5645189.08,976.4499999999998
China,2012,5971.5599999999995,10652456.499999996,968.0300000000001
Venezuela,2007,9738.929999999998,20195708.18,961.1599999999996
Portugal,2018,2955.5299999999997,8643205.649999999,959.96
Ecuador,2011,12268.98,22629397.609999996,944.3800000000001
Irlanda,2017,3412.01,10085807.459999997,939.51
Perú,2010,5142.520000000001,9713923.95,908.7000000000003
Siria- República Árabe,2009,3333.89,6984934.709999999,905.05
Taiwán- Provincia de China,2012,5598.07,10092632.919999998,902.88
Ecuador,2016,11921.059999999994,35632931.54999998,895.1000000000001
Marruecos,2006,2183.3599999999997,5226030.439999999,895.03
Ecuador,2013,15701.900000000003,29299071.639999993,891.3499999999999
Eslovenia,2015,2929.8200000000006,8356126.21,889.62
Rumania,2008,2730.7799999999997,5340434.16,887.32
Nueva Zelandia,2008,3031.6,5907513.630000002,883.7700000000001
República Checa,2006,2121.9700000000007,4989762.17,881.4400000000002
Chile,2014,13722.350000000002,27524226.68999999,873.4300000000003
Chile,2015,12365.320000000002,33948322.85,872.5300000000004
